"reader","treatment","case","truth","rating","case2","case3"
"1","1","1",0,1,"1.1","1.1"
"1","2","1",0,3,"1.1","2.1"
"2","1","1",0,2,"2.1","1.1"
"2","2","1",0,3,"2.1","2.1"
"3","1","1",0,2,"3.1","1.1"
"3","2","1",0,2,"3.1","2.1"
"4","1","1",0,1,"4.1","1.1"
"4","2","1",0,2,"4.1","2.1"
"5","1","1",0,3,"5.1","1.1"
"5","2","1",0,2,"5.1","2.1"
"1","1","2",0,2,"1.2","1.2"
"1","2","2",0,3,"1.2","2.2"
"2","1","2",0,3,"2.2","1.2"
"2","2","2",0,2,"2.2","2.2"
"3","1","2",0,2,"3.2","1.2"
"3","2","2",0,4,"3.2","2.2"
"4","1","2",0,1,"4.2","1.2"
"4","2","2",0,2,"4.2","2.2"
"5","1","2",0,5,"5.2","1.2"
"5","2","2",0,2,"5.2","2.2"
"1","1","3",0,2,"1.3","1.3"
"1","2","3",0,3,"1.3","2.3"
"2","1","3",0,2,"2.3","1.3"
"2","2","3",0,2,"2.3","2.3"
"3","1","3",0,2,"3.3","1.3"
"3","2","3",0,2,"3.3","2.3"
"4","1","3",0,1,"4.3","1.3"
"4","2","3",0,1,"4.3","2.3"
"5","1","3",0,1,"5.3","1.3"
"5","2","3",0,3,"5.3","2.3"
"1","1","4",0,1,"1.4","1.4"
"1","2","4",0,2,"1.4","2.4"
"2","1","4",0,2,"2.4","1.4"
"2","2","4",0,2,"2.4","2.4"
"3","1","4",0,2,"3.4","1.4"
"3","2","4",0,2,"3.4","2.4"
"4","1","4",0,1,"4.4","1.4"
"4","2","4",0,1,"4.4","2.4"
"5","1","4",0,2,"5.4","1.4"
"5","2","4",0,1,"5.4","2.4"
"1","1","5",0,5,"1.5","1.5"
"1","2","5",0,2,"1.5","2.5"
"2","1","5",0,2,"2.5","1.5"
"2","2","5",0,2,"2.5","2.5"
"3","1","5",0,3,"3.5","1.5"
"3","2","5",0,2,"3.5","2.5"
"4","1","5",0,1,"4.5","1.5"
"4","2","5",0,1,"4.5","2.5"
"5","1","5",0,1,"5.5","1.5"
"5","2","5",0,2,"5.5","2.5"
"1","1","6",0,1,"1.6","1.6"
"1","2","6",0,2,"1.6","2.6"
"2","1","6",0,2,"2.6","1.6"
"2","2","6",0,2,"2.6","2.6"
"3","1","6",0,5,"3.6","1.6"
"3","2","6",0,2,"3.6","2.6"
"4","1","6",0,1,"4.6","1.6"
"4","2","6",0,1,"4.6","2.6"
"5","1","6",0,1,"5.6","1.6"
"5","2","6",0,2,"5.6","2.6"
"1","1","7",0,1,"1.7","1.7"
"1","2","7",0,2,"1.7","2.7"
"2","1","7",0,2,"2.7","1.7"
"2","2","7",0,2,"2.7","2.7"
"3","1","7",0,1,"3.7","1.7"
"3","2","7",0,3,"3.7","2.7"
"4","1","7",0,3,"4.7","1.7"
"4","2","7",0,3,"4.7","2.7"
"5","1","7",0,1,"5.7","1.7"
"5","2","7",0,2,"5.7","2.7"
"1","1","8",0,1,"1.8","1.8"
"1","2","8",0,2,"1.8","2.8"
"2","1","8",0,2,"2.8","1.8"
"2","2","8",0,2,"2.8","2.8"
"3","1","8",0,1,"3.8","1.8"
"3","2","8",0,2,"3.8","2.8"
"4","1","8",0,1,"4.8","1.8"
"4","2","8",0,1,"4.8","2.8"
"5","1","8",0,1,"5.8","1.8"
"5","2","8",0,2,"5.8","2.8"
"1","1","9",0,1,"1.9","1.9"
"1","2","9",0,3,"1.9","2.9"
"2","1","9",0,2,"2.9","1.9"
"2","2","9",0,3,"2.9","2.9"
"3","1","9",0,2,"3.9","1.9"
"3","2","9",0,2,"3.9","2.9"
"4","1","9",0,1,"4.9","1.9"
"4","2","9",0,2,"4.9","2.9"
"5","1","9",0,2,"5.9","1.9"
"5","2","9",0,1,"5.9","2.9"
"1","1","10",0,1,"1.10","1.10"
"1","2","10",0,2,"1.10","2.10"
"2","1","10",0,3,"2.10","1.10"
"2","2","10",0,2,"2.10","2.10"
"3","1","10",0,2,"3.10","1.10"
"3","2","10",0,2,"3.10","2.10"
"4","1","10",0,1,"4.10","1.10"
"4","2","10",0,1,"4.10","2.10"
"5","1","10",0,2,"5.10","1.10"
"5","2","10",0,2,"5.10","2.10"
"1","1","11",0,1,"1.11","1.11"
"1","2","11",0,1,"1.11","2.11"
"2","1","11",0,2,"2.11","1.11"
"2","2","11",0,2,"2.11","2.11"
"3","1","11",0,4,"3.11","1.11"
"3","2","11",0,1,"3.11","2.11"
"4","1","11",0,1,"4.11","1.11"
"4","2","11",0,1,"4.11","2.11"
"5","1","11",0,2,"5.11","1.11"
"5","2","11",0,2,"5.11","2.11"
"1","1","12",0,1,"1.12","1.12"
"1","2","12",0,3,"1.12","2.12"
"2","1","12",0,2,"2.12","1.12"
"2","2","12",0,2,"2.12","2.12"
"3","1","12",0,2,"3.12","1.12"
"3","2","12",0,1,"3.12","2.12"
"4","1","12",0,1,"4.12","1.12"
"4","2","12",0,1,"4.12","2.12"
"5","1","12",0,1,"5.12","1.12"
"5","2","12",0,2,"5.12","2.12"
"1","1","13",0,4,"1.13","1.13"
"1","2","13",0,1,"1.13","2.13"
"2","1","13",0,5,"2.13","1.13"
"2","2","13",0,2,"2.13","2.13"
"3","1","13",0,4,"3.13","1.13"
"3","2","13",0,1,"3.13","2.13"
"4","1","13",0,1,"4.13","1.13"
"4","2","13",0,1,"4.13","2.13"
"5","1","13",0,2,"5.13","1.13"
"5","2","13",0,1,"5.13","2.13"
"1","1","14",0,1,"1.14","1.14"
"1","2","14",0,2,"1.14","2.14"
"2","1","14",0,2,"2.14","1.14"
"2","2","14",0,2,"2.14","2.14"
"3","1","14",0,2,"3.14","1.14"
"3","2","14",0,3,"3.14","2.14"
"4","1","14",0,1,"4.14","1.14"
"4","2","14",0,2,"4.14","2.14"
"5","1","14",0,1,"5.14","1.14"
"5","2","14",0,1,"5.14","2.14"
"1","1","15",0,1,"1.15","1.15"
"1","2","15",0,2,"1.15","2.15"
"2","1","15",0,2,"2.15","1.15"
"2","2","15",0,2,"2.15","2.15"
"3","1","15",0,2,"3.15","1.15"
"3","2","15",0,2,"3.15","2.15"
"4","1","15",0,1,"4.15","1.15"
"4","2","15",0,2,"4.15","2.15"
"5","1","15",0,1,"5.15","1.15"
"5","2","15",0,1,"5.15","2.15"
"1","1","16",0,1,"1.16","1.16"
"1","2","16",0,2,"1.16","2.16"
"2","1","16",0,2,"2.16","1.16"
"2","2","16",0,1,"2.16","2.16"
"3","1","16",0,2,"3.16","1.16"
"3","2","16",0,2,"3.16","2.16"
"4","1","16",0,1,"4.16","1.16"
"4","2","16",0,1,"4.16","2.16"
"5","1","16",0,1,"5.16","1.16"
"5","2","16",0,2,"5.16","2.16"
"1","1","17",0,1,"1.17","1.17"
"1","2","17",0,2,"1.17","2.17"
"2","1","17",0,3,"2.17","1.17"
"2","2","17",0,2,"2.17","2.17"
"3","1","17",0,3,"3.17","1.17"
"3","2","17",0,2,"3.17","2.17"
"4","1","17",0,1,"4.17","1.17"
"4","2","17",0,1,"4.17","2.17"
"5","1","17",0,2,"5.17","1.17"
"5","2","17",0,2,"5.17","2.17"
"1","1","18",0,1,"1.18","1.18"
"1","2","18",0,2,"1.18","2.18"
"2","1","18",0,2,"2.18","1.18"
"2","2","18",0,2,"2.18","2.18"
"3","1","18",0,2,"3.18","1.18"
"3","2","18",0,2,"3.18","2.18"
"4","1","18",0,1,"4.18","1.18"
"4","2","18",0,1,"4.18","2.18"
"5","1","18",0,2,"5.18","1.18"
"5","2","18",0,2,"5.18","2.18"
"1","1","19",0,1,"1.19","1.19"
"1","2","19",0,2,"1.19","2.19"
"2","1","19",0,2,"2.19","1.19"
"2","2","19",0,2,"2.19","2.19"
"3","1","19",0,2,"3.19","1.19"
"3","2","19",0,1,"3.19","2.19"
"4","1","19",0,1,"4.19","1.19"
"4","2","19",0,2,"4.19","2.19"
"5","1","19",0,1,"5.19","1.19"
"5","2","19",0,1,"5.19","2.19"
"1","1","20",0,1,"1.20","1.20"
"1","2","20",0,1,"1.20","2.20"
"2","1","20",0,2,"2.20","1.20"
"2","2","20",0,2,"2.20","2.20"
"3","1","20",0,2,"3.20","1.20"
"3","2","20",0,2,"3.20","2.20"
"4","1","20",0,1,"4.20","1.20"
"4","2","20",0,1,"4.20","2.20"
"5","1","20",0,1,"5.20","1.20"
"5","2","20",0,2,"5.20","2.20"
"1","1","21",0,1,"1.21","1.21"
"1","2","21",0,1,"1.21","2.21"
"2","1","21",0,2,"2.21","1.21"
"2","2","21",0,1,"2.21","2.21"
"3","1","21",0,1,"3.21","1.21"
"3","2","21",0,1,"3.21","2.21"
"4","1","21",0,2,"4.21","1.21"
"4","2","21",0,1,"4.21","2.21"
"5","1","21",0,3,"5.21","1.21"
"5","2","21",0,2,"5.21","2.21"
"1","1","22",0,1,"1.22","1.22"
"1","2","22",0,1,"1.22","2.22"
"2","1","22",0,2,"2.22","1.22"
"2","2","22",0,2,"2.22","2.22"
"3","1","22",0,2,"3.22","1.22"
"3","2","22",0,1,"3.22","2.22"
"4","1","22",0,1,"4.22","1.22"
"4","2","22",0,1,"4.22","2.22"
"5","1","22",0,2,"5.22","1.22"
"5","2","22",0,2,"5.22","2.22"
"1","1","23",0,3,"1.23","1.23"
"1","2","23",0,1,"1.23","2.23"
"2","1","23",0,2,"2.23","1.23"
"2","2","23",0,2,"2.23","2.23"
"3","1","23",0,3,"3.23","1.23"
"3","2","23",0,2,"3.23","2.23"
"4","1","23",0,1,"4.23","1.23"
"4","2","23",0,1,"4.23","2.23"
"5","1","23",0,2,"5.23","1.23"
"5","2","23",0,1,"5.23","2.23"
"1","1","24",0,1,"1.24","1.24"
"1","2","24",0,1,"1.24","2.24"
"2","1","24",0,2,"2.24","1.24"
"2","2","24",0,2,"2.24","2.24"
"3","1","24",0,2,"3.24","1.24"
"3","2","24",0,1,"3.24","2.24"
"4","1","24",0,1,"4.24","1.24"
"4","2","24",0,1,"4.24","2.24"
"5","1","24",0,1,"5.24","1.24"
"5","2","24",0,2,"5.24","2.24"
"1","1","25",0,3,"1.25","1.25"
"1","2","25",0,4,"1.25","2.25"
"2","1","25",0,4,"2.25","1.25"
"2","2","25",0,3,"2.25","2.25"
"3","1","25",0,4,"3.25","1.25"
"3","2","25",0,4,"3.25","2.25"
"4","1","25",0,2,"4.25","1.25"
"4","2","25",0,3,"4.25","2.25"
"5","1","25",0,1,"5.25","1.25"
"5","2","25",0,3,"5.25","2.25"
"1","1","26",0,1,"1.26","1.26"
"1","2","26",0,2,"1.26","2.26"
"2","1","26",0,2,"2.26","1.26"
"2","2","26",0,2,"2.26","2.26"
"3","1","26",0,1,"3.26","1.26"
"3","2","26",0,1,"3.26","2.26"
"4","1","26",0,1,"4.26","1.26"
"4","2","26",0,2,"4.26","2.26"
"5","1","26",0,1,"5.26","1.26"
"5","2","26",0,2,"5.26","2.26"
"1","1","27",0,1,"1.27","1.27"
"1","2","27",0,1,"1.27","2.27"
"2","1","27",0,2,"2.27","1.27"
"2","2","27",0,2,"2.27","2.27"
"3","1","27",0,1,"3.27","1.27"
"3","2","27",0,1,"3.27","2.27"
"4","1","27",0,1,"4.27","1.27"
"4","2","27",0,1,"4.27","2.27"
"5","1","27",0,1,"5.27","1.27"
"5","2","27",0,2,"5.27","2.27"
"1","1","28",0,2,"1.28","1.28"
"1","2","28",0,3,"1.28","2.28"
"2","1","28",0,2,"2.28","1.28"
"2","2","28",0,2,"2.28","2.28"
"3","1","28",0,3,"3.28","1.28"
"3","2","28",0,5,"3.28","2.28"
"4","1","28",0,1,"4.28","1.28"
"4","2","28",0,2,"4.28","2.28"
"5","1","28",0,2,"5.28","1.28"
"5","2","28",0,3,"5.28","2.28"
"1","1","29",0,1,"1.29","1.29"
"1","2","29",0,1,"1.29","2.29"
"2","1","29",0,2,"2.29","1.29"
"2","2","29",0,2,"2.29","2.29"
"3","1","29",0,2,"3.29","1.29"
"3","2","29",0,1,"3.29","2.29"
"4","1","29",0,1,"4.29","1.29"
"4","2","29",0,1,"4.29","2.29"
"5","1","29",0,1,"5.29","1.29"
"5","2","29",0,2,"5.29","2.29"
"1","1","30",0,4,"1.30","1.30"
"1","2","30",0,2,"1.30","2.30"
"2","1","30",0,3,"2.30","1.30"
"2","2","30",0,2,"2.30","2.30"
"3","1","30",0,2,"3.30","1.30"
"3","2","30",0,2,"3.30","2.30"
"4","1","30",0,2,"4.30","1.30"
"4","2","30",0,2,"4.30","2.30"
"5","1","30",0,1,"5.30","1.30"
"5","2","30",0,1,"5.30","2.30"
"1","1","31",0,1,"1.31","1.31"
"1","2","31",0,2,"1.31","2.31"
"2","1","31",0,2,"2.31","1.31"
"2","2","31",0,2,"2.31","2.31"
"3","1","31",0,1,"3.31","1.31"
"3","2","31",0,1,"3.31","2.31"
"4","1","31",0,1,"4.31","1.31"
"4","2","31",0,1,"4.31","2.31"
"5","1","31",0,2,"5.31","1.31"
"5","2","31",0,2,"5.31","2.31"
"1","1","32",0,1,"1.32","1.32"
"1","2","32",0,1,"1.32","2.32"
"2","1","32",0,2,"2.32","1.32"
"2","2","32",0,1,"2.32","2.32"
"3","1","32",0,1,"3.32","1.32"
"3","2","32",0,1,"3.32","2.32"
"4","1","32",0,1,"4.32","1.32"
"4","2","32",0,1,"4.32","2.32"
"5","1","32",0,1,"5.32","1.32"
"5","2","32",0,1,"5.32","2.32"
"1","1","33",0,1,"1.33","1.33"
"1","2","33",0,4,"1.33","2.33"
"2","1","33",0,2,"2.33","1.33"
"2","2","33",0,2,"2.33","2.33"
"3","1","33",0,2,"3.33","1.33"
"3","2","33",0,2,"3.33","2.33"
"4","1","33",0,1,"4.33","1.33"
"4","2","33",0,1,"4.33","2.33"
"5","1","33",0,1,"5.33","1.33"
"5","2","33",0,2,"5.33","2.33"
"1","1","34",0,1,"1.34","1.34"
"1","2","34",0,3,"1.34","2.34"
"2","1","34",0,2,"2.34","1.34"
"2","2","34",0,2,"2.34","2.34"
"3","1","34",0,2,"3.34","1.34"
"3","2","34",0,1,"3.34","2.34"
"4","1","34",0,1,"4.34","1.34"
"4","2","34",0,1,"4.34","2.34"
"5","1","34",0,2,"5.34","1.34"
"5","2","34",0,2,"5.34","2.34"
"1","1","35",0,1,"1.35","1.35"
"1","2","35",0,2,"1.35","2.35"
"2","1","35",0,2,"2.35","1.35"
"2","2","35",0,1,"2.35","2.35"
"3","1","35",0,2,"3.35","1.35"
"3","2","35",0,2,"3.35","2.35"
"4","1","35",0,1,"4.35","1.35"
"4","2","35",0,2,"4.35","2.35"
"5","1","35",0,3,"5.35","1.35"
"5","2","35",0,2,"5.35","2.35"
"1","1","36",0,3,"1.36","1.36"
"1","2","36",0,3,"1.36","2.36"
"2","1","36",0,2,"2.36","1.36"
"2","2","36",0,2,"2.36","2.36"
"3","1","36",0,4,"3.36","1.36"
"3","2","36",0,2,"3.36","2.36"
"4","1","36",0,1,"4.36","1.36"
"4","2","36",0,2,"4.36","2.36"
"5","1","36",0,1,"5.36","1.36"
"5","2","36",0,2,"5.36","2.36"
"1","1","37",0,1,"1.37","1.37"
"1","2","37",0,1,"1.37","2.37"
"2","1","37",0,2,"2.37","1.37"
"2","2","37",0,2,"2.37","2.37"
"3","1","37",0,1,"3.37","1.37"
"3","2","37",0,2,"3.37","2.37"
"4","1","37",0,1,"4.37","1.37"
"4","2","37",0,1,"4.37","2.37"
"5","1","37",0,2,"5.37","1.37"
"5","2","37",0,1,"5.37","2.37"
"1","1","38",0,2,"1.38","1.38"
"1","2","38",0,2,"1.38","2.38"
"2","1","38",0,2,"2.38","1.38"
"2","2","38",0,2,"2.38","2.38"
"3","1","38",0,2,"3.38","1.38"
"3","2","38",0,1,"3.38","2.38"
"4","1","38",0,1,"4.38","1.38"
"4","2","38",0,1,"4.38","2.38"
"5","1","38",0,2,"5.38","1.38"
"5","2","38",0,1,"5.38","2.38"
"1","1","39",0,1,"1.39","1.39"
"1","2","39",0,3,"1.39","2.39"
"2","1","39",0,2,"2.39","1.39"
"2","2","39",0,2,"2.39","2.39"
"3","1","39",0,1,"3.39","1.39"
"3","2","39",0,2,"3.39","2.39"
"4","1","39",0,1,"4.39","1.39"
"4","2","39",0,2,"4.39","2.39"
"5","1","39",0,1,"5.39","1.39"
"5","2","39",0,2,"5.39","2.39"
"1","1","40",0,2,"1.40","1.40"
"1","2","40",0,1,"1.40","2.40"
"2","1","40",0,2,"2.40","1.40"
"2","2","40",0,2,"2.40","2.40"
"3","1","40",0,4,"3.40","1.40"
"3","2","40",0,2,"3.40","2.40"
"4","1","40",0,1,"4.40","1.40"
"4","2","40",0,1,"4.40","2.40"
"5","1","40",0,1,"5.40","1.40"
"5","2","40",0,1,"5.40","2.40"
"1","1","41",0,1,"1.41","1.41"
"1","2","41",0,2,"1.41","2.41"
"2","1","41",0,2,"2.41","1.41"
"2","2","41",0,3,"2.41","2.41"
"3","1","41",0,1,"3.41","1.41"
"3","2","41",0,2,"3.41","2.41"
"4","1","41",0,1,"4.41","1.41"
"4","2","41",0,1,"4.41","2.41"
"5","1","41",0,1,"5.41","1.41"
"5","2","41",0,2,"5.41","2.41"
"1","1","42",0,1,"1.42","1.42"
"1","2","42",0,2,"1.42","2.42"
"2","1","42",0,2,"2.42","1.42"
"2","2","42",0,1,"2.42","2.42"
"3","1","42",0,2,"3.42","1.42"
"3","2","42",0,1,"3.42","2.42"
"4","1","42",0,1,"4.42","1.42"
"4","2","42",0,1,"4.42","2.42"
"5","1","42",0,3,"5.42","1.42"
"5","2","42",0,1,"5.42","2.42"
"1","1","43",0,2,"1.43","1.43"
"1","2","43",0,2,"1.43","2.43"
"2","1","43",0,2,"2.43","1.43"
"2","2","43",0,2,"2.43","2.43"
"3","1","43",0,1,"3.43","1.43"
"3","2","43",0,1,"3.43","2.43"
"4","1","43",0,1,"4.43","1.43"
"4","2","43",0,1,"4.43","2.43"
"5","1","43",0,3,"5.43","1.43"
"5","2","43",0,1,"5.43","2.43"
"1","1","44",0,3,"1.44","1.44"
"1","2","44",0,3,"1.44","2.44"
"2","1","44",0,2,"2.44","1.44"
"2","2","44",0,2,"2.44","2.44"
"3","1","44",0,1,"3.44","1.44"
"3","2","44",0,3,"3.44","2.44"
"4","1","44",0,1,"4.44","1.44"
"4","2","44",0,1,"4.44","2.44"
"5","1","44",0,3,"5.44","1.44"
"5","2","44",0,3,"5.44","2.44"
"1","1","45",0,3,"1.45","1.45"
"1","2","45",0,3,"1.45","2.45"
"2","1","45",0,2,"2.45","1.45"
"2","2","45",0,3,"2.45","2.45"
"3","1","45",0,2,"3.45","1.45"
"3","2","45",0,2,"3.45","2.45"
"4","1","45",0,1,"4.45","1.45"
"4","2","45",0,2,"4.45","2.45"
"5","1","45",0,2,"5.45","1.45"
"5","2","45",0,2,"5.45","2.45"
"1","1","46",0,1,"1.46","1.46"
"1","2","46",0,1,"1.46","2.46"
"2","1","46",0,2,"2.46","1.46"
"2","2","46",0,2,"2.46","2.46"
"3","1","46",0,2,"3.46","1.46"
"3","2","46",0,1,"3.46","2.46"
"4","1","46",0,1,"4.46","1.46"
"4","2","46",0,1,"4.46","2.46"
"5","1","46",0,1,"5.46","1.46"
"5","2","46",0,1,"5.46","2.46"
"1","1","47",0,3,"1.47","1.47"
"1","2","47",0,1,"1.47","2.47"
"2","1","47",0,2,"2.47","1.47"
"2","2","47",0,2,"2.47","2.47"
"3","1","47",0,2,"3.47","1.47"
"3","2","47",0,1,"3.47","2.47"
"4","1","47",0,1,"4.47","1.47"
"4","2","47",0,2,"4.47","2.47"
"5","1","47",0,1,"5.47","1.47"
"5","2","47",0,2,"5.47","2.47"
"1","1","48",0,1,"1.48","1.48"
"1","2","48",0,1,"1.48","2.48"
"2","1","48",0,2,"2.48","1.48"
"2","2","48",0,2,"2.48","2.48"
"3","1","48",0,2,"3.48","1.48"
"3","2","48",0,1,"3.48","2.48"
"4","1","48",0,1,"4.48","1.48"
"4","2","48",0,1,"4.48","2.48"
"5","1","48",0,1,"5.48","1.48"
"5","2","48",0,2,"5.48","2.48"
"1","1","49",0,1,"1.49","1.49"
"1","2","49",0,3,"1.49","2.49"
"2","1","49",0,2,"2.49","1.49"
"2","2","49",0,2,"2.49","2.49"
"3","1","49",0,2,"3.49","1.49"
"3","2","49",0,2,"3.49","2.49"
"4","1","49",0,3,"4.49","1.49"
"4","2","49",0,2,"4.49","2.49"
"5","1","49",0,2,"5.49","1.49"
"5","2","49",0,3,"5.49","2.49"
"1","1","50",0,3,"1.50","1.50"
"1","2","50",0,3,"1.50","2.50"
"2","1","50",0,2,"2.50","1.50"
"2","2","50",0,2,"2.50","2.50"
"3","1","50",0,2,"3.50","1.50"
"3","2","50",0,3,"3.50","2.50"
"4","1","50",0,3,"4.50","1.50"
"4","2","50",0,1,"4.50","2.50"
"5","1","50",0,1,"5.50","1.50"
"5","2","50",0,3,"5.50","2.50"
"1","1","51",0,3,"1.51","1.51"
"1","2","51",0,3,"1.51","2.51"
"2","1","51",0,2,"2.51","1.51"
"2","2","51",0,2,"2.51","2.51"
"3","1","51",0,3,"3.51","1.51"
"3","2","51",0,3,"3.51","2.51"
"4","1","51",0,1,"4.51","1.51"
"4","2","51",0,2,"4.51","2.51"
"5","1","51",0,1,"5.51","1.51"
"5","2","51",0,2,"5.51","2.51"
"1","1","52",0,1,"1.52","1.52"
"1","2","52",0,1,"1.52","2.52"
"2","1","52",0,2,"2.52","1.52"
"2","2","52",0,2,"2.52","2.52"
"3","1","52",0,2,"3.52","1.52"
"3","2","52",0,1,"3.52","2.52"
